date,open,high,low,close,volume,daily_return,log_return,MA20,MA50,MA200,volatility
2018-06-11,2536.989990234375,2536.989990234375,2536.989990234375,2536.989990234375,0,-0.02695417789757426,-0.02732410427455436,2506.7710051769063,2517.5354786606936,,0.4683637787214662
2018-06-12,2536.989990234375,2536.989990234375,2536.989990234375,2536.989990234375,0,0.0,0.0,2509.9334532698567,2519.3711119063246,,0.46623755939322226
2018-06-13,2536.989990234375,2536.989990234375,2536.989990234375,2536.989990234375,0,0.0,0.0,2521.5291192125196,2521.3410975834076,,0.3815289396295529
2018-06-14,2536.989990234375,2536.989990234375,2536.989990234375,2536.989990234375,0,0.0,0.0,2525.042941174543,2523.042376575107,,0.30035936552514864
2018-06-15,2536.989990234375,2536.989990234375,2536.989990234375,2536.989990234375,0,0.0,0.0,2528.2053794398435,2524.3405995390412,,0.30034818218022524
2018-06-18,2536.989990234375,2536.989990234375,2536.989990234375,2536.989990234375,0,0.0,0.0,2532.4219878911067,2526.3105865743323,,0.2981645986382041
2018-06-19,2536.989990234375,2536.989990234375,2536.989990234375,2536.989990234375,0,0.0,0.0,2539.0982907366465,2526.802694785553,,0.2868390682596298
2018-06-20,2607.266845703125,2607.266845703125,2466.7133769320667,2487.7963972477255,295386100,-0.019390534915790014,-0.019580997471989516,2541.909379468922,2524.8330642351707,,0.2952299361632047
2018-06-21,2536.989990234375,2600.2390481626558,2536.989990234375,2565.1006826469443,123848500,0.031073397117521884,0.03060039272160015,2547.8829046476176,2524.678224984464,,0.31301350233569636
2018-06-22,2515.906982421875,2551.0453480981582,2487.7962898808487,2536.9900018276453,121490900,-0.010958899589972981,-0.011019390679915687,2550.342593906837,2524.901632859132,,0.3113944269934296
2018-06-25,2572.12841796875,2593.211437788166,2529.962378329918,2551.0453981493342,97826600,0.005540185933552433,0.005524895551838616,2552.0995246507073,2526.7496697283686,,0.3095538428297729
2018-06-26,2593.211181640625,2600.2388542195968,2529.962128429878,2529.962128429878,91252300,-0.008264560769773555,-0.008298901590888306,2548.93707199017,2528.176041203216,,0.2903664751999197
2018-06-27,2607.266845703125,2656.460559772995,2593.211498826019,2593.211498826019,106616500,0.02500012537159768,0.024692734904117854,2552.0995268142833,2530.0612894987016,,0.290366734479038
2018-06-28,2572.12841796875,2614.294457607582,2572.12841796875,2600.239111061305,133779300,0.002710003498930691,0.0027063380601897594,2555.6133522625896,2531.415329532428,,0.2903730289479586
2018-06-29,2635.37744140625,2635.37744140625,2558.0730364583333,2565.1007096354165,79116600,-0.013513526996963843,-0.013605665723933846,2560.181327197485,2532.0666015376364,,0.282310182678675
2018-07-02,2635.37744140625,2670.5158072916665,2607.2667486979167,2670.5158072916665,55810800,0.041095890410958846,0.0402738991379399,2569.3173041955038,2535.4979378397197,,0.3135713909501095
2018-07-03,2600.239013671875,2628.349705711571,2579.1559946421035,2628.349705711571,79439500,-0.015789497094517713,-0.015915479091773415,2571.425600614405,2536.8767806913042,,0.2913619186704469
2018-07-04,2642.4052734375,2677.5436414353394,2551.0455166431184,2600.2392318400935,54884500,-0.010695104159995084,-0.01075270787312522,2568.263160350941,2537.4247098593564,,0.27333131277947725
2018-07-05,2691.598876953125,2691.598876953125,2642.405163797324,2670.51585702921,59717900,0.027026984413039745,0.026668205589593902,2568.2631591301615,2539.3781715311907,,0.29057462139001433
2018-07-06,2712.68212890625,2733.7651506335005,2691.5991071789995,2705.6544549971663,67655200,0.013157981397289298,0.013072167102335951,2573.18254581673,2542.034405162384,,0.2795892397812042
2018-07-09,2797.013916015625,2811.0692623272616,2726.7371844574436,2740.79253076908,68798500,0.012986904409399314,0.012903297650309158,2583.3726728434654,2546.4682171334275,,0.25966625755509093
2018-07-10,2832.15234375,2846.2076903691063,2782.9586305831263,2804.0416505117864,118127300,0.023076945457436215,0.02281469964186064,2596.7252558573355,2551.0921946749136,,0.26766935432181277
2018-07-11,2853.2353515625,2867.290698121921,2782.958618765394,2811.0693118842364,144055300,0.0025062614070541223,0.0025031259716550083,2610.429221939829,2556.125430817213,,0.26719573270906216
2018-07-12,2881.345947265625,2888.3736203077365,2839.1799090129575,2846.207582055069,114531700,0.012499965768286048,0.012422486189456381,2625.8901015308634,2561.3240238071194,,0.2676709492341849
